filename,xmin,ymin,xmax,ymax,fracture_visible
0013_0185896313_01_WRI-R1_M012.png,78,897,113,939,
0013_0185896340_01_WRI-R2_M012.png,360,902,394,941,
0014_0516192795_01_WRI-L1_M006.png,286,484,400,545,
0014_0516192795_01_WRI-L1_M006.png,67,107,154,218,1
0014_0516192795_01_WRI-L1_M006.png,185,478,260,529,1
0014_0516192868_01_WRI-L2_M006.png,193,494,279,583,1
0014_0516192868_01_WRI-L2_M006.png,252,496,314,586,1
0014_0516192868_01_WRI-L2_M006.png,501,376,566,495,
0014_0516793680_02_WRI-L1_M006.png,220,456,330,557,
0014_0516793680_02_WRI-L1_M006.png,128,458,212,506,
0014_0516793680_02_WRI-L1_M006.png,47,64,70,95,
0014_0516793680_02_WRI-L1_M006.png,4,198,19,216,1
0014_0516793756_02_WRI-L2_M006.png,156,516,231,607,1
0014_0516793756_02_WRI-L2_M006.png,240,529,296,581,1
0014_0516793756_02_WRI-L2_M006.png,7,153,57,274,1
0014_0517394593_03_WRI-L1_M006.png,231,567,344,653,1
0014_0517394593_03_WRI-L1_M006.png,143,614,218,704,1
0014_0517394593_03_WRI-L1_M006.png,44,81,70,115,1
0014_0517394665_03_WRI-L2_M006.png,332,377,419,472,1
0014_0517394665_03_WRI-L2_M006.png,307,5,365,90,1
0015_0668695173_01_WRI-L1_F008.png,231,457,386,510,1
0015_0668695173_01_WRI-L1_F008.png,110,463,194,506,1
0015_0668695173_01_WRI-L1_F008.png,7,1049,50,1076,1
0015_0668695209_01_WRI-L2_F008.png,170,414,300,507,1
0015_0668695209_01_WRI-L2_F008.png,8,946,78,1052,1
0015_0668695209_01_WRI-L2_F008.png,262,368,366,767,1
0016_0320600143_01_WRI-L1_F010.png,63,137,86,175,1
0016_0320600143_01_WRI-L1_F010.png,4,851,49,964,1
0016_0320600198_01_WRI-L2_F010.png,0,0,68,60,1
0016_0321123728_02_WRI-L1_F010.png,24,41,70,152,1
0016_0321123759_02_WRI-L2_F010.png,40,82,94,198,1
0017_1043285040_01_WRI-L1_F001.png,66,152,80,171,1
0017_1043285078_01_WRI-L2_F001.png,147,443,196,484,1
0017_1043285078_01_WRI-L2_F001.png,156,503,211,550,1
0017_1043285078_01_WRI-L2_F001.png,44,69,92,138,1
0018_1173779048_01_WRI-R2_M015.png,463,218,522,338,1
0019_0224740760_01_WRI-R1_M009.png,131,1054,169,1097,
0019_0224740802_01_WRI-R2_M009.png,157,487,268,547,
0019_0224740802_01_WRI-R2_M009.png,98,843,133,884,1
0020_0163123912_01_WRI-L1_M015.png,454,173,540,294,1
0020_0163123942_01_WRI-L2_M015.png,539,60,559,95,1
0020_0163123942_01_WRI-L2_M015.png,314,285,346,315,1
0021_1009239861_01_WRI-R1_M015.png,502,432,528,466,
0021_1009239893_01_WRI-R2_M015.png,382,429,408,461,
0021_1009239893_01_WRI-R2_M015.png,139,396,296,469,1
0022_0393695654_01_WRI-L2_M012.png,171,420,301,519,1
0022_0393695654_01_WRI-L2_M012.png,65,9,142,126,1
0022_0395494318_02_WRI-L1_M012.png,285,590,433,727,1
0022_0395494318_02_WRI-L1_M012.png,151,481,214,546,1
0022_0395494318_02_WRI-L1_M012.png,7,212,46,249,1
0022_0395494318_02_WRI-L1_M012.png,93,239,119,276,
0022_0395494351_02_WRI-L2_M012.png,243,602,375,714,
0022_0395494351_02_WRI-L2_M012.png,91,213,116,256,1
0022_0395494351_02_WRI-L2_M012.png,3,335,37,364,1
0022_0473957070_03_WRI-R1_M014.png,597,806,664,926,1
0022_0473957122_03_WRI-R2_M014.png,547,937,626,1057,
0023_0657841969_01_WRI-L1_M012.png,16,113,44,160,1
0023_0657841969_01_WRI-L1_M012.png,10,467,48,543,1
0023_0657842010_02_WRI-L2_M012.png,17,789,46,839,1
0023_0657842010_02_WRI-L2_M012.png,10,998,23,1022,1
0023_0657842010_02_WRI-L2_M012.png,100,342,194,663,1
0024_0210292654_01_WRI-L1_M011.png,40,566,95,691,1
0024_0210292654_01_WRI-L1_M011.png,306,527,422,602,1
0024_0210292715_01_WRI-L2_M011.png,1,70,72,189,1
0024_0210292715_01_WRI-L2_M011.png,139,474,263,570,1
0025_0483842858_01_WRI-L1_F000.png,228,297,294,334,1
0025_0483842858_01_WRI-L1_F000.png,11,21,24,40,1
0025_0483842914_01_WRI-L2_F000.png,179,271,233,322,
0025_0483842914_01_WRI-L2_F000.png,44,44,55,61,1
0026_0943885928_01_WRI-L1_M014.png,19,602,59,673,1
0026_0943885953_01_WRI-L2_M014.png,56,151,74,180,1
0026_0943885953_01_WRI-L2_M014.png,16,681,34,691,1
0027_0484640641_01_WRI-L1_F011.png,594,717,803,753,1
0027_0484640641_01_WRI-L1_F011.png,646,834,698,910,
0027_0484640676_01_WRI-L2_F011.png,413,902,474,980,1
0027_0484640676_01_WRI-L2_F011.png,312,11,548,51,1
0028_0576606781_01_WRI-R1_M008.png,613,335,706,455,1
0028_0576606781_01_WRI-R1_M008.png,229,630,330,710,1
0028_0576606781_01_WRI-R1_M008.png,348,746,429,825,1
0028_0576606836_01_WRI-R2_M008.png,512,258,594,376,1
0028_0576606836_01_WRI-R2_M008.png,285,659,370,736,1
0028_0578333865_02_WRI-R1_M008.png,411,1051,496,1166,1
0028_0578333865_02_WRI-R1_M008.png,196,354,308,430,1
0028_0578333865_02_WRI-R1_M008.png,335,432,430,510,
0028_0578333865_02_WRI-R1_M008.png,407,453,432,742,
0028_0578333865_02_WRI-R1_M008.png,337,323,381,787,
0028_0578333865_02_WRI-R1_M008.png,201,405,211,496,
0028_0578333865_02_WRI-R1_M008.png,274,353,305,494,
0028_0578333913_02_WRI-R2_M008.png,366,952,410,1078,1
0028_0578333913_02_WRI-R2_M008.png,198,428,291,571,1
0028_0578333913_02_WRI-R2_M008.png,208,488,222,659,1
0028_0579537263_03_WRI-R1_M008.png,470,48,562,145,1
0028_0579537263_03_WRI-R1_M008.png,163,347,271,433,1
0028_0579537263_03_WRI-R1_M008.png,305,432,392,501,
0028_0579537263_03_WRI-R1_M008.png,297,334,342,757,
0028_0579537263_03_WRI-R1_M008.png,368,423,389,731,
0028_0579537263_03_WRI-R1_M008.png,238,325,276,473,
0028_0579537263_03_WRI-R1_M008.png,161,330,174,492,1
0028_0579537367_03_WRI-R2_M008.png,397,94,484,209,1
0028_0579537367_03_WRI-R2_M008.png,285,465,373,553,1
0028_0579537367_03_WRI-R2_M008.png,256,421,310,863,1
0028_0579537367_03_WRI-R2_M008.png,367,576,396,906,1
0028_0579537367_03_WRI-R2_M008.png,328,550,402,618,1
0028_0579540510_04_WRI-R2_M008.png,448,235,538,355,1
0028_0579540510_04_WRI-R2_M008.png,318,539,420,677,1
0028_0579540510_04_WRI-R2_M008.png,298,512,361,1011,1
0028_0583692518_05_WRI-R1_M008.png,392,972,478,1086,1
0028_0583692518_05_WRI-R1_M008.png,123,333,243,490,1
0028_0583692518_05_WRI-R1_M008.png,281,365,359,726,1
0028_0583692518_05_WRI-R1_M008.png,283,367,308,743,1
0028_0583692518_05_WRI-R1_M008.png,216,358,239,523,1
0028_0583692518_05_WRI-R1_M008.png,134,384,155,543,1
0028_0583692558_05_WRI-R2_M008.png,411,84,480,201,1
0028_0583692558_05_WRI-R2_M008.png,259,379,414,670,
0028_0583692558_05_WRI-R2_M008.png,277,457,300,612,
0029_0571570953_01_WRI-L1_M008.png,494,901,518,934,
0029_0571570953_01_WRI-L1_M008.png,320,559,449,635,
0029_0571570953_01_WRI-L1_M008.png,173,546,282,615,
0029_0571570993_01_WRI-L2_M008.png,424,884,446,915,
0029_0571570993_01_WRI-L2_M008.png,180,521,277,598,1
0030_0853281724_01_WRI-L1_F008.png,237,288,367,359,1
0030_0853281724_01_WRI-L1_F008.png,16,223,86,340,1
0030_0853281744_01_WRI-L2_F008.png,17,192,89,306,1
0030_0853281744_01_WRI-L2_F008.png,253,214,340,560,1
0030_0853281744_01_WRI-L2_F008.png,184,240,281,302,1
0030_0853281744_01_WRI-L2_F008.png,117,133,206,512,
0031_1006577868_01_WRI-R1_M009.png,204,452,294,524,1
0031_1006577868_01_WRI-R1_M009.png,390,857,442,932,1
0031_1006577868_01_WRI-R1_M009.png,358,444,422,498,1
0031_1006577911_01_WRI-R2_M009.png,7,853,65,928,1
0031_1006577911_01_WRI-R2_M009.png,205,444,298,509,1
0031_1007172623_02_WRI-R1_M009.png,250,438,338,514,1
0031_1007172623_02_WRI-R1_M009.png,508,131,560,203,1
0031_1007172623_02_WRI-R1_M009.png,391,406,455,470,
0031_1007172668_02_WRI-R2_M009.png,406,744,462,812,
0031_1007172668_02_WRI-R2_M009.png,129,563,228,641,
0031_1007782833_03_WRI-R1_M009.png,265,473,352,554,
0031_1007782833_03_WRI-R1_M009.png,6,745,27,770,1
0031_1007782833_03_WRI-R1_M009.png,399,460,467,521,1
0031_1007782900_03_WRI-R2_M009.png,501,31,523,60,1
0031_1007782900_03_WRI-R2_M009.png,216,475,320,553,1
0032_1146492991_01_WRI-R1_M007.png,537,524,579,591,1
0032_1146492991_01_WRI-R1_M007.png,223,419,333,480,1
0032_1146493016_02_WRI-R2_M007.png,379,238,433,307,1
0032_1146493016_02_WRI-R2_M007.png,248,431,355,490,1
0033_1098977646_01_WRI-L1_F006.png,225,448,332,514,1
0033_1098977646_01_WRI-L1_F006.png,96,423,169,470,1
0033_1098977646_01_WRI-L1_F006.png,28,268,89,341,1
0033_1098977682_01_WRI-L2_F006.png,108,353,193,420,1
0033_1098977682_01_WRI-L2_F006.png,17,0,57,55,1
0033_1098977682_01_WRI-L2_F006.png,143,358,207,418,1
0033_1100149160_02_WRI-L1_F006.png,277,370,392,437,1
0033_1100149160_02_WRI-L1_F006.png,142,378,218,420,1
0033_1100149160_02_WRI-L1_F006.png,46,247,85,320,1
0033_1100149160_02_WRI-L1_F006.png,278,367,284,402,1
0033_1100149160_02_WRI-L1_F006.png,284,413,294,450,1
0033_1100149160_02_WRI-L1_F006.png,197,399,209,434,1
0033_1100149190_02_WRI-L2_F006.png,131,311,221,390,1
0033_1100149190_02_WRI-L2_F006.png,1,248,41,319,1
0033_1100149190_02_WRI-L2_F006.png,139,344,154,461,1
0034_1157727574_01_WRI-R1_F013.png,629,495,689,574,
0034_1157727598_01_WRI-R2_F013.png,529,382,586,461,
0035_0797029228_01_WRI-L1_F012.png,241,527,379,580,
0035_0797029228_01_WRI-L1_F012.png,453,845,475,880,
0035_0797029354_01_WRI-L2_F012.png,138,508,255,574,1
0035_0797029354_01_WRI-L2_F012.png,25,82,48,114,1
0036_0584218367_01_WRI-L1_F010.png,276,620,416,685,1
0036_0584218367_01_WRI-L1_F010.png,150,531,213,584,1
0036_0584218367_01_WRI-L1_F010.png,27,930,84,1003,1
0036_0584218404_01_WRI-L2_F010.png,122,550,222,617,1
0036_0584218404_01_WRI-L2_F010.png,26,95,84,166,
0037_0894273489_01_WRI-R1_M015.png,592,513,626,576,
0037_0894273521_01_WRI-R2_M015.png,419,134,482,206,1
0038_0774132662_01_WRI-L1_M014.png,33,138,53,181,1
0038_0774132662_01_WRI-L1_M014.png,314,511,458,627,1
0038_0774132662_01_WRI-L1_M014.png,155,490,244,565,1
0038_0774132724_01_WRI-L2_M014.png,9,135,28,170,
0038_0774132724_01_WRI-L2_M014.png,160,366,287,469,
0038_0774740630_02_WRI-L1_M014.png,260,621,406,749,
0038_0774740630_02_WRI-L1_M014.png,106,599,191,692,
0038_0774740630_02_WRI-L1_M014.png,11,109,63,206,
0038_0774740680_02_WRI-L2_M014.png,142,683,266,784,
0038_0774740680_02_WRI-L2_M014.png,19,72,63,143,
0038_0775938700_03_WRI-L1_M014.png,2,241,46,315,1
0038_0775938700_03_WRI-L1_M014.png,256,502,408,660,
0038_0775938700_03_WRI-L1_M014.png,126,489,210,576,
0038_0775938700_03_WRI-L1_M014.png,261,492,284,740,
0038_0775938700_03_WRI-L1_M014.png,378,521,407,718,
0038_0775938700_03_WRI-L1_M014.png,189,478,212,809,
0038_0775938745_03_WRI-L2_M014.png,15,426,58,501,
0038_0775938745_03_WRI-L2_M014.png,129,482,251,592,1
0038_0775938745_03_WRI-L2_M014.png,226,536,251,712,1
0039_0524881391_01_WRI-R1_M016.png,579,710,632,784,1
0039_0524881424_01_WRI-R2_M016.png,576,193,632,270,1
0040_0776653648_01_WRI-L1_M015.png,155,1189,192,1247,1
0040_0776653648_01_WRI-L1_M015.png,420,427,645,567,1
0040_0776653695_01_WRI-L2_M015.png,541,1621,584,1684,1
0040_0776653695_01_WRI-L2_M015.png,362,692,591,883,1
0040_0776971253_02_WRI-L1_M015.png,11,1003,72,1120,1
0040_0776971253_02_WRI-L1_M015.png,329,611,531,719,1
0040_0776971340_02_WRI-L2_M015.png,32,115,96,227,1
0040_0778435056_03_WRI-L1_M015.png,503,1084,535,1128,1
0040_0778435056_03_WRI-L1_M015.png,276,528,478,658,1
0040_0778435087_03_WRI-L2_M015.png,309,1117,338,1165,1
0040_0778435087_03_WRI-L2_M015.png,122,533,292,659,1
0040_0779044114_04_WRI-L1_M015.png,30,638,95,755,1
0040_0779044114_04_WRI-L1_M015.png,302,514,513,650,1
0040_0779044160_04_WRI-L2_M015.png,26,145,93,257,1
0040_0779044160_04_WRI-L2_M015.png,206,587,374,713,
0041_0846362218_01_WRI-R1_M010.png,689,670,745,790,
0041_0846362218_01_WRI-R1_M010.png,275,511,410,590,
0041_0846362218_01_WRI-R1_M010.png,493,451,585,504,
0041_0846362255_01_WRI-R2_M010.png,629,351,695,460,
0041_0846362255_01_WRI-R2_M010.png,384,635,485,739,
0041_0846362255_01_WRI-R2_M010.png,328,575,416,630,1
0042_0760625564_01_WRI-R1_M013.png,447,512,479,549,1
0042_0760625564_01_WRI-R1_M013.png,139,470,268,535,1
0042_0760625600_01_WRI-R2_M013.png,424,821,482,897,1
0042_0760625600_01_WRI-R2_M013.png,183,596,312,662,1
0042_0760627960_02_WRI-R2_M013.png,480,39,515,82,1
0042_0760627960_02_WRI-R2_M013.png,282,493,408,561,1
0042_0762697159_03_WRI-R1_M013.png,599,1017,707,1108,1
0042_0762697159_03_WRI-R1_M013.png,244,689,372,758,1
0042_0762697180_03_WRI-R2_M013.png,440,88,476,128,1
0042_0762697180_03_WRI-R2_M013.png,72,998,118,1064,1
0042_0762697180_03_WRI-R2_M013.png,271,591,403,697,1
0042_0827512754_04_WRI-R1_M015.png,538,559,631,684,1
0042_0827512771_04_WRI-R2_M015.png,499,759,581,879,1
0042_0827512771_04_WRI-R2_M015.png,268,640,425,716,1
0043_1102352941_01_WRI-R1_M007.png,210,438,357,518,1
0043_1102352941_01_WRI-R1_M007.png,503,269,532,343,
0043_1102352994_01_WRI-R2_M007.png,140,301,248,362,
0043_1102352994_01_WRI-R2_M007.png,8,277,29,300,
0044_1042128354_01_WRI-L1_M004.png,67,187,89,214,
0044_1042128354_01_WRI-L1_M004.png,253,361,375,420,1
0044_1042128354_01_WRI-L1_M004.png,14,618,41,644,1
0044_1042128398_01_WRI-L2_M004.png,13,237,64,304,1
0044_1042128398_01_WRI-L2_M004.png,188,322,289,374,1
0044_1042128398_01_WRI-L2_M004.png,166,322,229,372,
0045_0661159881_01_WRI-L1_M010.png,41,181,113,235,
0045_0661159909_01_WRI-L2_M010.png,402,483,515,562,
0045_0661159909_01_WRI-L2_M010.png,107,454,172,520,1
0046_1032962136_01_WRI-L1_M008.png,104,595,185,695,1
0046_1032962136_01_WRI-L1_M008.png,232,540,361,630,1
0046_1032962136_01_WRI-L1_M008.png,2,917,35,992,1
0046_1032962185_01_WRI-L2_M008.png,163,482,281,609,1
0046_1032962185_01_WRI-L2_M008.png,51,272,89,338,1
0046_1032962185_01_WRI-L2_M008.png,69,352,200,635,1
0046_1033629128_02_WRI-L1_M008.png,165,546,251,663,1
0046_1033629128_02_WRI-L1_M008.png,295,490,424,565,1
0046_1033629128_02_WRI-L1_M008.png,11,214,64,283,1
0046_1033629175_02_WRI-L2_M008.png,188,468,266,584,1
0046_1033629175_02_WRI-L2_M008.png,126,401,219,513,1
0046_1033629175_02_WRI-L2_M008.png,0,142,52,216,1
0046_1034320500_03_WRI-L1_M008.png,287,561,420,666,1
0046_1034320500_03_WRI-L1_M008.png,161,612,252,777,1
0046_1034320500_03_WRI-L1_M008.png,34,873,55,905,1
0046_1034320574_03_WRI-L2_M008.png,125,106,147,144,1
0046_1034320574_03_WRI-L2_M008.png,128,674,243,767,
0046_1034320574_03_WRI-L2_M008.png,197,760,286,871,
0047_0292337722_01_WRI-R1_M010.png,212,749,386,824,1
0047_0292337722_01_WRI-R1_M010.png,617,414,679,530,1
0047_0292337722_01_WRI-R1_M010.png,429,746,522,822,
0047_0292337758_01_WRI-R2_M010.png,234,653,354,735,
0047_0292337758_01_WRI-R2_M010.png,422,376,480,492,1
0047_0292337758_01_WRI-R2_M010.png,251,671,329,728,1
0047_0292337758_01_WRI-R2_M010.png,334,522,415,859,1
0048_0915621999_01_WRI-L1_F014.png,488,732,507,766,1
0048_0915622108_02_WRI-L2_F014.png,245,705,262,735,1
0049_0920148982_01_WRI-L1_M012.png,17,713,59,785,1
0049_0920148997_01_WRI-L2_M012.png,2,644,37,712,
0050_0619640826_01_WRI-R1_M011.png,427,663,496,779,1
0050_0619640860_01_WRI-R2_M011.png,373,721,431,837,1
0050_0619640860_01_WRI-R2_M011.png,162,386,302,457,1
0050_0619640860_01_WRI-R2_M011.png,125,370,208,695,
0050_0656342765_02_WRI-L1_M012.png,247,469,402,551,
0050_0656342765_02_WRI-L1_M012.png,96,378,158,431,1
0050_0656342765_02_WRI-L1_M012.png,387,913,464,1034,1
0050_0656342800_02_WRI-L2_M012.png,173,639,306,725,1
0050_0656342800_02_WRI-L2_M012.png,9,933,48,954,1
0050_0656342800_02_WRI-L2_M012.png,81,1031,110,1076,1
0051_0591299963_01_WRI-R1_M016.png,534,783,586,850,1
0051_0591299963_01_WRI-R1_M016.png,169,441,359,518,1
0051_0591300007_02_WRI-R2_M016.png,55,859,82,898,1
0051_0591300007_02_WRI-R2_M016.png,151,523,299,592,1
0051_0629216892_03_WRI-R1_M017.png,476,688,516,763,1
0051_0629216922_03_WRI-R2_M017.png,440,588,484,662,
0052_1061971499_01_WRI-R1_F011.png,564,555,615,626,
0052_1061971533_01_WRI-R2_F011.png,443,18,487,91,
0053_1118810151_01_WRI-R1_F005.png,162,406,269,464,
0053_1118810151_01_WRI-R1_F005.png,471,368,527,433,1
0053_1118810151_01_WRI-R1_F005.png,291,398,370,447,1
0053_1118810262_01_WRI-R2_F005.png,177,346,254,416,1
0053_1118810262_01_WRI-R2_F005.png,365,375,412,440,1
0053_1119227882_02_WRI-R1_F005.png,196,440,299,507,
0053_1119227882_02_WRI-R1_F005.png,530,290,582,354,
0053_1119227945_02_WRI-R2_F005.png,204,504,278,573,
0053_1119227945_02_WRI-R2_F005.png,377,28,432,94,
0053_1119833109_03_WRI-R1_F005.png,218,453,321,533,1
0053_1119833109_03_WRI-R1_F005.png,551,458,600,524,1
0053_1119833229_03_WRI-R2_F005.png,263,393,360,488,1
0053_1119833229_03_WRI-R2_F005.png,481,35,529,96,1
0053_1120434786_04_WRI-R1_F005.png,168,389,278,466,
0053_1120434786_04_WRI-R1_F005.png,291,399,360,446,
0053_1120434786_04_WRI-R1_F005.png,361,827,415,896,
0053_1120434863_04_WRI-R2_F005.png,163,219,248,289,1
0053_1120434863_04_WRI-R2_F005.png,397,611,451,681,1
0054_0367866644_01_WRI-L1_M014.png,28,119,53,157,1
0054_0367866644_01_WRI-L1_M014.png,103,514,167,584,
0054_0367866644_01_WRI-L1_M014.png,293,722,467,1053,
0054_0367866717_01_WRI-L2_M014.png,372,890,396,926,
0054_0367866717_01_WRI-L2_M014.png,144,616,304,1036,
0055_0844133053_01_WRI-L1_F015.png,32,329,53,362,
0055_0844133053_01_WRI-L1_F015.png,169,455,217,510,
0055_0844133053_01_WRI-L1_F015.png,295,470,525,637,
0055_0844133053_01_WRI-L1_F015.png,337,301,632,788,
0055_0844133130_01_WRI-L2_F015.png,46,265,70,300,
0055_0844133130_01_WRI-L2_F015.png,259,523,449,668,1
0055_0844133130_01_WRI-L2_F015.png,252,345,443,825,
0055_0845337283_02_WRI-L1_F015.png,4,349,51,416,
0055_0845337283_02_WRI-L1_F015.png,197,255,482,714,1
0055_0845337283_02_WRI-L1_F015.png,186,451,392,580,1
0055_0845337283_02_WRI-L1_F015.png,186,493,226,623,
0055_0845337354_02_WRI-L2_F015.png,8,68,29,104,
0055_0845337354_02_WRI-L2_F015.png,4,404,37,431,1
0055_0845337354_02_WRI-L2_F015.png,107,510,256,644,1
0055_0845337354_02_WRI-L2_F015.png,110,526,191,828,1
0055_0845337354_02_WRI-L2_F015.png,102,308,247,800,1
0055_0851472050_03_WRI-L1_F015.png,7,1052,46,1123,1
0055_0851472050_03_WRI-L1_F015.png,265,621,480,739,1
0055_0851472085_03_WRI-L2_F015.png,18,928,66,1002,1
0055_0851472085_03_WRI-L2_F015.png,131,490,296,724,1
0056_0382887521_01_WRI-L1_F011.png,106,496,125,528,
0056_0382887553_01_WRI-L2_F011.png,53,351,72,381,
0056_0417604029_02_WRI-R1_F012.png,446,823,500,892,1
0056_0417604062_02_WRI-R2_F012.png,372,26,426,96,1
0056_0422451553_03_WRI-L1_F012.png,11,75,28,111,1
0056_0422451553_03_WRI-L1_F012.png,10,527,39,554,1
0056_0422451576_03_WRI-L2_F012.png,26,670,71,742,1
0057_0927207219_01_WRI-R1_M010.png,537,1088,626,1207,1
0057_0927207219_01_WRI-R1_M010.png,471,468,554,555,1
0057_0927207258_01_WRI-R2_M010.png,544,65,613,174,1
0057_0927207258_01_WRI-R2_M010.png,290,358,436,420,1
0057_0928238931_02_WRI-R1_M010.png,571,192,605,235,1
0057_0928238931_02_WRI-R1_M010.png,445,601,542,677,1
0057_0928238990_02_WRI-R2_M010.png,374,1176,415,1224,1
0057_0928238990_02_WRI-R2_M010.png,209,451,354,538,1
0057_0928847944_03_WRI-R1_M010.png,533,159,618,275,1
0057_0928847944_03_WRI-R1_M010.png,194,669,357,732,1
0057_0928847944_03_WRI-R1_M010.png,401,727,493,813,1
0057_0928848008_04_WRI-R2_M010.png,521,210,603,325,1
0057_0928848008_04_WRI-R2_M010.png,238,618,378,705,1
0058_1187121256_01_WRI-L1_M013.png,28,992,82,1064,1
0058_1187121299_01_WRI-L2_M013.png,27,1007,80,1077,1
0058_1187121299_01_WRI-L2_M013.png,201,612,355,691,1
0058_1220190927_02_WRI-L1_M014.png,282,588,482,700,1
0058_1220190927_02_WRI-L1_M014.png,142,472,217,552,1
0058_1220190927_02_WRI-L1_M014.png,479,1061,521,1137,1
0058_1220190964_02_WRI-L2_M014.png,14,954,58,1028,
0058_1220190964_02_WRI-L2_M014.png,91,565,262,687,
0058_1220190964_02_WRI-L2_M014.png,21,383,132,942,
0059_0828267972_01_WRI-R1_M010.png,554,280,615,365,
0059_0828267972_01_WRI-R1_M010.png,180,527,341,602,1
0059_0828268006_02_WRI-R2_M010.png,341,66,395,148,1
0059_0828268006_02_WRI-R2_M010.png,151,514,274,592,1
0059_0829795995_03_WRI-R1_M010.png,454,655,518,741,1
0059_0829795995_03_WRI-R1_M010.png,127,438,277,544,1
0059_0829796060_04_WRI-R2_M010.png,275,49,304,80,1
0059_0829796060_04_WRI-R2_M010.png,102,422,222,505,1
0059_0829796060_04_WRI-R2_M010.png,178,426,223,633,1
0060_0798373378_01_WRI-R2_F016.png,333,962,432,1088,1
0061_0644271576_01_WRI-L1_F010.png,7,683,66,808,1
0061_0644271611_01_WRI-L2_F010.png,7,548,67,670,1
0062_0612031062_01_WRI-R1_F005.png,43,406,62,430,
0062_0612031092_01_WRI-R2_F005.png,348,45,383,114,1
0062_0612031092_01_WRI-R2_F005.png,217,327,317,396,
0063_0564895706_01_WRI-R1_F011.png,161,582,317,659,
0063_0564895706_01_WRI-R1_F011.png,555,349,580,460,1
0063_0564895706_01_WRI-R1_F011.png,506,869,532,904,1
0063_0564895777_01_WRI-R2_F011.png,313,606,448,667,1
0063_0564895777_01_WRI-R2_F011.png,157,1069,192,1116,1
0063_0566100805_02_WRI-R1_F011.png,199,392,361,510,1
0063_0566100805_02_WRI-R1_F011.png,544,261,631,380,1
